ID,airport_name,type,country,lat,long,elevation,service
KE-0055,Lake Jipe Airport,small_airport,KE,-3.626263,37.78253,2400.0,no
KE-0056,Finch Hattons Airport,small_airport,KE,-2.945968,37.914688,2644.0,no
KE-0057,Maktau Gate Airport,small_airport,KE,-3.408667,38.119919,3500.0,no
KE-0058,Kamboyo (Tsavo West) Airport,small_airport,KE,-2.753061,38.121118,2805.0,no
KE-0059,Kangetchwa Airport,small_airport,KE,-3.179622,38.128781,3050.0,no
KE-0061,Ithumba Airport,small_airport,KE,-2.216722,38.38689,1700.0,no
KE-0063,Kone Airport,small_airport,KE,-2.329158,39.035182,500.0,no
KE-0064,Moyale Boma Airstrip,small_airport,KE,3.524281,39.047738,2790.0,no
KE-0065,Crocodile Camp Airport,small_airport,KE,-3.076832,39.244552,500.0,no
KE-0066,Kwale Airport,small_airport,KE,-4.170062,39.433923,1380.0,no
KE-0067,Kore Galana Ranch Airport,small_airport,KE,-2.997436,39.288256,,no
KE-0068,Koma Wayu (Tank E) Airstrip,small_airport,KE,-2.896018,39.49747,500.0,no
KE-0070,Kijipwa Airport,small_airport,KE,-3.842052,39.805092,40.0,no
KE-0071,Garsen Airport,small_airport,KE,-2.267013,40.092438,16.0,no
KE-0074,Laragai Airstrip,small_airport,KE,0.269778,37.329096,,no
KE-0076,Mount Kenya Lodge Airstrip,small_airport,KE,-0.161788,37.44557,,no
KE-0077,Log Logo Airstrip,small_airport,KE,1.994582,37.916434,,no
KE-0078,Kalacha Airport,small_airport,KE,3.134855,37.426236,,no
KE-0079,Kauro Airstrip,small_airport,KE,1.06402,37.720198,,no
KE-0080,Baomo Tana Airport,small_airport,KE,-1.847326,40.091586,200.0,no
KE-0081,Bura West Airport,small_airport,KE,-1.189574,39.81448,250.0,no
KE-0086,Airspray Naivasha Airfield,small_airport,KE,-0.797263,36.40794,6200.0,no
KE-0087,Alale Airport,small_airport,KE,2.267596,35.029196,5000.0,no
KE-0088,Alia Bay Airport,small_airport,KE,3.703752,36.265059,,no
KE-0089,Arabia Airport,small_airport,KE,3.566973,41.511833,1212.0,no
KE-0090,Asako Airport,small_airport,KE,-0.107107,39.046973,500.0,no
KE-0091,Athi River Airport,small_airport,KE,-1.51094,37.034369,,no
KE-0092,Batchuma Gate Airport,small_airport,KE,-3.663575,38.945339,1250.0,no
KE-0093,Baragoi West Airport,small_airport,KE,1.807578,36.679137,,no
KE-0094,Barsaloi Airport,small_airport,KE,1.340706,36.856679,,no
KE-0095,Barton's Naivasha Airport,small_airport,KE,-0.795118,36.295698,,no
KE-0096,Crescent Island Naivasha Airport,small_airport,KE,-0.767433,36.397561,,no
KE-0097,Belatrix Kargi Airport,small_airport,KE,2.505995,37.565966,,no
KE-0099,Bobs Harries Airport,small_airport,KE,-1.040713,36.992879,,no
KE-0100,Enarau Conservancy Airstrip,small_airport,KE,-1.014151,35.342216,,no
KE-0101,Bomet Airport,small_airport,KE,-0.776471,35.318411,,no
KE-0102,Buna Airport,small_airport,KE,2.801467,39.481064,1642.0,no
KE-0103,Bute Moyale Airport,small_airport,KE,3.337517,39.41424,2128.0,no
KE-0104,Carzan Rongai Airport,small_airport,KE,-0.191457,35.864189,,no
KE-0105,Chaffa Airport,small_airport,KE,0.666346,37.910434,,no
KE-0106,Chyulus Airport,small_airport,KE,-2.52936,37.7325,3806.0,no
KE-0107,Cottars Mara Airport,small_airport,KE,-1.680236,35.343177,5780.0,no
KE-0108,Dadaab Airport,small_airport,KE,0.058189,40.318055,400.0,no
KE-0109,Dol Dol Airport,small_airport,KE,0.367944,37.141442,,no
KE-0110,Milgis Trust Airstrip,small_airport,KE,1.465284,37.073011,,no
KE-0111,Enasoit Airport,small_airport,KE,0.235863,37.078371,,no
KE-0112,Engelesha Airport,small_airport,KE,0.510757,36.294394,6464.0,no
KE-0113,Entasopia Airport,small_airport,KE,-1.783522,36.057783,,no
KE-0114,Entasekera Airport,small_airport,KE,-1.842318,35.86778,,no
KE-0115,Funzi Island Airport,small_airport,KE,-4.573672,39.447079,44.0,no
KE-0116,Galana Ranch Airstrip,small_airport,KE,-3.061225,39.331335,,no
KE-0117,Gatab Airstrip,small_airport,KE,2.636477,36.932055,,no
KE-0118,Gilgil Coulson Airport,small_airport,KE,-0.502798,36.356915,,no
KE-0119,Gogar Airport,small_airport,KE,-0.18786,35.856818,,no
KE-0120,Habaswein Airport,small_airport,KE,1.016215,39.505836,,no
KE-0122,Ileret Airstrip,small_airport,KE,4.304767,36.23564,,no
KE-0123,Ilkerin Airport,closed,KE,-1.806828,35.704339,,no
KE-0124,Jolai Delamere Estates Airport,small_airport,KE,-0.523628,36.187582,,no
KE-0125,Kalama Airport,small_airport,KE,0.694423,37.611987,2934.0,no
KE-0126,Kamburu Airport,small_airport,KE,-0.823913,37.715869,,no
KE-0127,Kamogi Ranch Airstrip,small_airport,KE,0.601404,36.736467,,no
KE-0128,Kanzi Airport,small_airport,KE,-2.753129,37.879328,,no
KE-0129,Kasigau Gate Airport,small_airport,KE,-3.851376,38.515389,,no
KE-0130,Kataboi Airport,small_airport,KE,3.756978,35.833826,,no
KE-0131,Katilu Airport,small_airport,KE,2.284536,35.428834,,no
KE-0132,Kedong Airport,small_airport,KE,-1.299226,36.475135,,no
KE-0133,Kichwa Tembo Airport,small_airport,KE,-1.263497,35.027533,,no
KE-0134,Kifuku Estate Airstrip,small_airport,KE,0.173081,36.583018,6236.0,no
KE-0135,Kijabe Airport,small_airport,KE,-0.957075,36.591668,,no
KE-0136,Kilalinda Airport,small_airport,KE,-2.627593,38.338681,,no
KE-0137,Kimana Airstrip,small_airport,KE,-2.752942,37.525214,3996.0,no
KE-0138,Kipipiri Airport,closed,KE,-0.454084,36.493097,,no
KE-0140,Kisima Ranch Airstrip,small_airport,KE,0.512642,36.694537,6159.0,no
KE-0141,Koka Airport,small_airport,KE,-1.915835,36.006139,,no
KE-0142,Kongoni Game Valley Airport,small_airport,KE,-0.843317,36.259475,,no
KE-0143,Korr Don Bosco Mission Airstrip,small_airport,KE,2.013693,37.517637,,no
KE-0144,Korr AIM Airstrip,small_airport,KE,2.007589,37.492161,,no
KE-0145,Kowop Airstrip,small_airport,KE,2.00616,36.8299,,no
KE-0146,Kuluo Airport,small_airport,KE,-1.12471,35.197795,,no
KE-0148,Manda Point Airstrip,small_airport,KE,-2.228949,40.971447,,no
KE-0149,Langata Enerit Airstrip,small_airport,KE,-1.536513,36.020637,,no
KE-0150,Larsens Camp Airstrip,small_airport,KE,0.591385,37.586685,,no
KE-0151,Latakweny Airport,small_airport,KE,1.547691,37.108677,,no
KE-0152,Lenchukuti Airport,small_airport,KE,2.243084,36.670897,,no
KE-0153,Lentille Airport,small_airport,KE,0.504473,37.006397,,no
KE-0154,Limuru Airstrip,small_airport,KE,-1.106687,36.688778,,no
KE-0155,Lolomarik Airport,small_airport,KE,0.107106,37.278907,7546.0,no
KE-0156,Longonot Fair Airstrip,small_airport,KE,-0.817141,36.391404,6365.0,no
